battery,feature,horizon,metric,block_length,bootstrap_n,estimate,ci_low,ci_high,n
CS2_35,HF8,4,degradation_spearman,30,1000,0.04769385109778611,-0.11968169746177024,0.19405737595796338,848
CS2_35,HF8,4,partial_pearson_controlling_SOH,30,1000,0.08512600973728446,0.009069477125079026,0.17921885764014897,848
CS2_35,HF1,8,degradation_pearson,10,1000,-0.1553396338805217,-0.27050288912016035,-0.04307721371420752,868
CS2_35,HF1,8,degradation_spearman,10,1000,-0.16609090591919867,-0.3213567264193071,0.005950657530524148,868
CS2_35,HF1,8,partial_pearson_controlling_SOH,10,1000,0.43720788245214576,0.258132516657118,0.619481099000367,868
CS2_35,HF1,8,degradation_pearson,20,1000,-0.15026980724773692,-0.28082016867078347,-0.03635664409245149,868
CS2_35,HF1,8,degradation_spearman,20,1000,-0.15270496881061724,-0.34019729003722987,0.039174531043452296,868
CS2_35,HF1,8,partial_pearson_controlling_SOH,20,1000,0.4294602932922463,0.26659599297235076,0.622540961447089,868
CS2_35,HF1,8,degradation_pearson,30,1000,-0.15488335288058877,-0.2761499970913404,-0.039365296527660805,868
CS2_35,HF1,8,degradation_spearman,30,1000,-0.15987904881857304,-0.355482069201599,0.04743366755290158,868
CS2_35,HF1,8,partial_pearson_controlling_SOH,30,1000,0.4332799029223787,0.2715801988580228,0.6174058129446003,868
CS2_35,HF2,8,degradation_pearson,10,1000,0.11902522569686431,-0.02989597384236587,0.2387822739493163,844
CS2_35,HF2,8,degradation_spearman,10,1000,0.13842651954321986,-0.03210961629513314,0.3084741184017955,844
CS2_35,HF2,8,partial_pearson_controlling_SOH,10,1000,0.1977532995991834,0.040069126530652616,0.37380558797779345,844
CS2_35,HF2,8,degradation_pearson,20,1000,0.11747904075215154,-0.028090035894702412,0.23652744170778103,844
CS2_35,HF2,8,degradation_spearman,20,1000,0.12929798517293234,-0.07710451872621535,0.2962516522142756,844
CS2_35,HF2,8,partial_pearson_controlling_SOH,20,1000,0.19881560541927865,0.048379488808607526,0.3742500410181359,844
CS2_35,HF2,8,degradation_pearson,30,1000,0.11635665560660816,-0.04186256783209466,0.2348230631438981,844
CS2_35,HF2,8,degradation_spearman,30,1000,0.13394147021525438,-0.09883430679682727,0.309787446137741,844
CS2_35,HF2,8,partial_pearson_controlling_SOH,30,1000,0.18662080077775003,0.0339496670574333,0.37893960922629233,844
CS2_35,HF3,8,degradation_pearson,10,1000,-0.11245803736371582,-0.30378450949330166,-0.04213894018564622,842
CS2_35,HF3,8,degradation_spearman,10,1000,-0.18442870021097102,-0.34915843863935486,-0.008713011191417803,842
CS2_35,HF3,8,partial_pearson_controlling_SOH,10,1000,0.0007558766782954393,-0.11780380040163692,0.030468818798347758,842
CS2_35,HF3,8,degradation_pearson,20,1000,-0.11499610511548482,-0.3130316446430567,-0.03619739516883488,842
CS2_35,HF3,8,degradation_spearman,20,1000,-0.18228200441649267,-0.3759555959125128,0.013417784512411091,842
CS2_35,HF3,8,partial_pearson_controlling_SOH,20,1000,0.0007335966952890455,-0.09969403429993569,0.0271399630697491,842
CS2_35,HF3,8,degradation_pearson,30,1000,-0.1106652856006779,-0.32112036956955425,-0.026592716577899637,842
CS2_35,HF3,8,degradation_spearman,30,1000,-0.18689271192558848,-0.3756187809356818,0.0440128424850996,842
CS2_35,HF3,8,partial_pearson_controlling_SOH,30,1000,0.0008765528659425081,-0.10848738467672303,0.02282618825411117,842
CS2_35,HF4,8,degradation_pearson,10,1000,-0.007919208107355084,-0.1882434804139562,0.15329705382859146,574
CS2_35,HF4,8,degradation_spearman,10,1000,0.19465054075843702,0.002670112404119845,0.3639424621923475,574
CS2_35,HF4,8,partial_pearson_controlling_SOH,10,1000,0.12797298383368744,-0.040592037176757745,0.27437069152264143,574
CS2_35,HF4,8,degradation_pearson,20,1000,-0.021017110296755535,-0.17394135503370373,0.14927394687551876,574
CS2_35,HF4,8,degradation_spearman,20,1000,0.19315999789550384,-0.006436741964756496,0.36547061694429284,574
CS2_35,HF4,8,partial_pearson_controlling_SOH,20,1000,0.1280122432863357,-0.06365945055656665,0.2810906118393171,574
CS2_35,HF4,8,degradation_pearson,30,1000,-0.021646483627629297,-0.17069196661742356,0.1632475306941373,574
CS2_35,HF4,8,degradation_spearman,30,1000,0.1955471918453875,-0.023104376594502554,0.37624769275737646,574
CS2_35,HF4,8,partial_pearson_controlling_SOH,30,1000,0.12595233571731065,-0.06078703181960031,0.28991654219703894,574
CS2_35,HF5,8,degradation_pearson,10,1000,-0.001455314373268143,-0.18864712799154976,0.1674386663747957,573
CS2_35,HF5,8,degradation_spearman,10,1000,0.20807002135935843,0.03486422935727649,0.36374745499265737,573
CS2_35,HF5,8,partial_pearson_controlling_SOH,10,1000,-0.015279978775029731,-0.13790792855848813,0.10835799173714744,573
CS2_35,HF5,8,degradation_pearson,20,1000,-0.006076878941572156,-0.17897703424562256,0.1786405369528883,573
CS2_35,HF5,8,degradation_spearman,20,1000,0.20423807607031905,0.04060631109964928,0.37228198552125574,573
CS2_35,HF5,8,partial_pearson_controlling_SOH,20,1000,-0.018079919515531492,-0.14893337371875756,0.11272495080940702,573
