battery,feature,horizon,metric,value,rmse_value,mae_without,mae_full,alpha,n_test
CS2_37,HF8,16,MAE_minus_full,-8.455041484036613e-05,-0.0002385555501829284,0.018994413634101752,0.019078964048942118,10.0,1022
CS2_38,SOH,16,MAE_minus_full,-0.0006318283138748645,-0.0007179109923685645,0.01858507388099198,0.019216902194866846,0.01,1012
CS2_38,HF1,16,MAE_minus_full,-0.0008320440672618806,-7.722157990992795e-05,0.018384858127604965,0.019216902194866846,10.0,1012
CS2_38,HF2,16,MAE_minus_full,0.0003827796915951906,0.00010837581668946689,0.019599681886462036,0.019216902194866846,100.0,1012
CS2_38,HF3,16,MAE_minus_full,0.0009861930776003114,0.0023572959491265782,0.020203095272467157,0.019216902194866846,100.0,1012
CS2_38,HF4,16,MAE_minus_full,0.0002640273559182185,0.0001335993015484302,0.019480929550785064,0.019216902194866846,100.0,1012
CS2_38,HF5,16,MAE_minus_full,2.673528021638477e-06,4.838805280765746e-07,0.019219575722888484,0.019216902194866846,100.0,1012
CS2_38,HF6,16,MAE_minus_full,0.0006593940143142588,0.0001656949469299035,0.019876296209181105,0.019216902194866846,100.0,1012
CS2_38,HF7,16,MAE_minus_full,-0.0008892361479562461,-0.00012417258503830825,0.0183276660469106,0.019216902194866846,10.0,1012
CS2_38,HF8,16,MAE_minus_full,0.00011873480343602139,3.5828446852681495e-06,0.019335636998302867,0.019216902194866846,100.0,1012
CS2_35,SOH,24,MAE_minus_full,0.000376682829402869,0.002359403786844849,0.022716485465715464,0.022339802636312595,10.0,858
CS2_35,HF1,24,MAE_minus_full,8.339230702889694e-05,-0.00038116989665090695,0.022423194943341492,0.022339802636312595,10.0,858
CS2_35,HF2,24,MAE_minus_full,-0.00030014203351535346,-2.5822526193756967e-05,0.022039660602797242,0.022339802636312595,10.0,858
CS2_35,HF3,24,MAE_minus_full,0.0008785210995614391,9.519222131448152e-05,0.023218323735874034,0.022339802636312595,100.0,858
CS2_35,HF4,24,MAE_minus_full,0.00032797874585728873,0.0003054835267792752,0.022667781382169884,0.022339802636312595,10.0,858
CS2_35,HF5,24,MAE_minus_full,2.899146066021388e-05,6.850564170531731e-05,0.02236879409697281,0.022339802636312595,10.0,858
CS2_35,HF6,24,MAE_minus_full,0.0008842052077611684,0.0003523327741793286,0.023224007844073764,0.022339802636312595,10.0,858
CS2_35,HF7,24,MAE_minus_full,-8.35168627002364e-06,-0.0002264682463261683,0.02233145095004257,0.022339802636312595,10.0,858
CS2_35,HF8,24,MAE_minus_full,-0.00021730983770610474,-1.835952859893103e-05,0.02212249279860649,0.022339802636312595,10.0,858
CS2_36,SOH,24,MAE_minus_full,0.0004090151601768878,0.0010371277472602317,0.02360244249133181,0.023193427331154922,10.0,949
CS2_36,HF1,24,MAE_minus_full,0.0002308160548854174,2.8180877650191283e-05,0.02342424338604034,0.023193427331154922,10.0,949
CS2_36,HF2,24,MAE_minus_full,-0.0001227016693677932,3.938452336353648e-05,0.02307072566178713,0.023193427331154922,100.0,949
CS2_36,HF3,24,MAE_minus_full,0.0005062073617770856,0.0030648830015103934,0.023699634692932008,0.023193427331154922,100.0,949
CS2_36,HF4,24,MAE_minus_full,0.000489794280141051,0.0002782810072222766,0.023683221611295973,0.023193427331154922,100.0,949
CS2_36,HF5,24,MAE_minus_full,7.609880103063085e-05,3.4822916936752546e-06,0.023269526132185553,0.023193427331154922,100.0,949
CS2_36,HF6,24,MAE_minus_full,0.0005724403903416032,0.0006847555027110416,0.023765867721496525,0.023193427331154922,10.0,949
CS2_36,HF7,24,MAE_minus_full,0.00036227166913483516,0.00014729288367073406,0.023555699000289757,0.023193427331154922,10.0,949
CS2_36,HF8,24,MAE_minus_full,-2.3187104123571778e-05,2.772612666779306e-05,0.02317024022703135,0.023193427331154922,100.0,949
CS2_37,SOH,24,MAE_minus_full,0.0003395293617444173,0.00027778862504169305,0.021860358080695606,0.02152082871895119,10.0,1014
CS2_37,HF1,24,MAE_minus_full,-0.0001240519076440849,-0.0005936672560220568,0.021396776811307104,0.02152082871895119,10.0,1014
CS2_37,HF2,24,MAE_minus_full,-3.593562745041537e-05,0.00010710127608939274,0.021484893091500774,0.02152082871895119,100.0,1014
CS2_37,HF3,24,MAE_minus_full,0.0005649884911708564,0.002541911214866882,0.022085817210122045,0.02152082871895119,100.0,1014
CS2_37,HF4,24,MAE_minus_full,0.00021993639513283314,2.7928333174373488e-05,0.021740765114084022,0.02152082871895119,100.0,1014
CS2_37,HF5,24,MAE_minus_full,5.918109971501939e-05,1.360148444166237e-05,0.02158000981866621,0.02152082871895119,100.0,1014
CS2_37,HF6,24,MAE_minus_full,-0.00012958027385947743,0.00016329326961626173,0.02139124844509171,0.02152082871895119,100.0,1014
