feature,horizon,metric,mean,median,std,count
HF7,12,spearman,0.96017444716297,0.9603615729016455,0.010281257528421496,4
HF7,16,pearson,0.9674525538312573,0.9663801572254944,0.0069326508420343306,4
HF7,16,spearman,0.9590537493304898,0.9600138845410564,0.010554546273423055,4
HF7,24,pearson,0.9658415901075754,0.9634871813768485,0.006760050592188744,4
HF7,24,spearman,0.9579582100279449,0.9597474930475751,0.010763947664094485,4
HF7,32,pearson,0.9620174579524519,0.9603700588807611,0.007799766111021762,4
HF7,32,spearman,0.9542713063946153,0.9556219257606815,0.013056964514295083,4
HF7,48,pearson,0.9587206287363694,0.9560557885804712,0.007487402325394766,4
HF7,48,spearman,0.9571591000165239,0.9588268106174518,0.011741567006889261,4
HF7,64,pearson,0.9528227027953389,0.9492771941840351,0.00954652971364185,4
HF7,64,spearman,0.948137021753754,0.9522887880169871,0.01810945050604161,4
HF8,1,pearson,-0.7054385448570022,-0.6937613937572285,0.10262060789091872,4
HF8,1,spearman,-0.8081588313356375,-0.8131750145078144,0.08468259145433996,4
HF8,4,pearson,-0.7116887059586311,-0.6973904282617003,0.09554597558852784,4
HF8,4,spearman,-0.8055783147151216,-0.8163715191752066,0.08422973451982556,4
HF8,8,pearson,-0.7201270973178434,-0.7096108532750145,0.08789644504572237,4
HF8,8,spearman,-0.8101244586702646,-0.824333134448124,0.08624035538766565,4
HF8,12,pearson,-0.7290412124897896,-0.7165422110983701,0.08020641039365091,4
HF8,12,spearman,-0.807601615631248,-0.8309476177526125,0.08678618170183101,4
HF8,16,pearson,-0.7424004783856362,-0.7265891400392994,0.07071370864947794,4
HF8,16,spearman,-0.8140132811291182,-0.8432875336369363,0.09034187332922648,4
HF8,24,pearson,-0.7563128848024492,-0.7408789882083568,0.057169876457736524,4
HF8,24,spearman,-0.8174563185353723,-0.85735837986498,0.0966316934024142,4
HF8,32,pearson,-0.7753767162123963,-0.7571516850845406,0.04544810419810297,4
HF8,32,spearman,-0.825425344140415,-0.8758234662926951,0.10466941774716927,4
HF8,48,pearson,-0.8025452160280291,-0.8078039915835464,0.0463633485460004,4
HF8,48,spearman,-0.833932406145447,-0.8914663807365307,0.12529679855242593,4
HF8,64,pearson,-0.8311337857073191,-0.8520701424158064,0.06444619102259286,4
HF8,64,spearman,-0.8282439338615585,-0.8859879821507335,0.1339481373880683,4
SOH,1,pearson,0.9693956474733179,0.9711470308074087,0.01614978417527673,4
