battery,state_definition,state,horizon,feature_group,mae_full,mae_without,lofo_value,n_state_samples,reliable,rank
CS2_37,degradation_dynamics,Medium,12,Group_DischargeIC,0.013546812240538976,0.0139363169401135,0.0003895046995745239,278,True,1.0
CS2_37,degradation_dynamics,Fast,12,Group_CC,0.02041774693456925,0.02079002430423358,0.0003722773696643311,315,True,1.0
CS2_37,degradation_dynamics,Fast,12,Group_CV,0.02041774693456925,0.020569582874517878,0.00015183593994862882,315,True,3.0
CS2_37,degradation_dynamics,Fast,12,Group_EnergyEfficiency,0.02041774693456925,0.02054752633340373,0.0001297793988344828,315,True,4.0
CS2_37,degradation_dynamics,Fast,12,Group_DischargeIC,0.02041774693456925,0.02062708148134013,0.00020933454677088056,315,True,2.0
CS2_38,degradation_dynamics,Slow,12,Group_CC,0.018490472938857822,0.019243267353317686,0.0007527944144598633,289,True,1.0
CS2_38,degradation_dynamics,Slow,12,Group_CV,0.018490472938857822,0.018053642270484505,-0.00043683066837331766,289,True,4.0
CS2_38,degradation_dynamics,Slow,12,Group_EnergyEfficiency,0.018490472938857822,0.018943248889211187,0.00045277595035336446,289,True,2.0
CS2_38,degradation_dynamics,Slow,12,Group_DischargeIC,0.018490472938857822,0.01865060927692074,0.00016013633806291616,289,True,3.0
CS2_38,degradation_dynamics,Medium,12,Group_CC,0.016448664937880532,0.016953157529004045,0.0005044925911235135,264,True,2.0
CS2_38,degradation_dynamics,Medium,12,Group_CV,0.016448664937880532,0.016362652237912004,-8.601269996852748e-05,264,True,4.0
CS2_38,degradation_dynamics,Medium,12,Group_EnergyEfficiency,0.016448664937880532,0.01660834079648784,0.00015967585860730826,264,True,3.0
CS2_38,degradation_dynamics,Medium,12,Group_DischargeIC,0.016448664937880532,0.017350453941695647,0.000901789003815115,264,True,1.0
CS2_38,degradation_dynamics,Fast,12,Group_CC,0.01714229173797301,0.01794379108716845,0.0008014993491954406,293,True,1.0
CS2_38,degradation_dynamics,Fast,12,Group_CV,0.01714229173797301,0.01703593488015561,-0.00010635685781739887,293,True,3.0
CS2_38,degradation_dynamics,Fast,12,Group_EnergyEfficiency,0.01714229173797301,0.017692673564071722,0.0005503818260987128,293,True,2.0
CS2_38,degradation_dynamics,Fast,12,Group_DischargeIC,0.01714229173797301,0.01687349243754575,-0.0002687993004272596,293,True,4.0
CS2_35,degradation_dynamics,Slow,16,Group_CC,0.016724388484124112,0.017143251460105455,0.00041886297598134337,264,True,2.0
CS2_35,degradation_dynamics,Slow,16,Group_CV,0.016724388484124112,0.016730352169101233,5.963684977121353e-06,264,True,4.0
CS2_35,degradation_dynamics,Slow,16,Group_EnergyEfficiency,0.016724388484124112,0.016875543237944688,0.00015115475382057597,264,True,3.0
CS2_35,degradation_dynamics,Slow,16,Group_DischargeIC,0.016724388484124112,0.01721499417099182,0.0004906056868677067,264,True,1.0
CS2_35,degradation_dynamics,Medium,16,Group_CC,0.014490114686234196,0.014697996504075323,0.00020788181784112646,213,True,2.0
CS2_35,degradation_dynamics,Medium,16,Group_CV,0.014490114686234196,0.014455451732405122,-3.466295382907429e-05,213,True,4.0
CS2_35,degradation_dynamics,Medium,16,Group_EnergyEfficiency,0.014490114686234196,0.014527204492562208,3.708980632801187e-05,213,True,3.0
CS2_35,degradation_dynamics,Medium,16,Group_DischargeIC,0.014490114686234196,0.015511386919011945,0.0010212722327777486,213,True,1.0
CS2_35,degradation_dynamics,Fast,16,Group_CC,0.01608183686148326,0.01631194788575573,0.00023011102427247104,219,True,1.0
CS2_35,degradation_dynamics,Fast,16,Group_CV,0.01608183686148326,0.016021180140270538,-6.06567212127207e-05,219,True,4.0
CS2_35,degradation_dynamics,Fast,16,Group_EnergyEfficiency,0.01608183686148326,0.016259666343570962,0.00017782948208770397,219,True,3.0
CS2_35,degradation_dynamics,Fast,16,Group_DischargeIC,0.01608183686148326,0.016295149270787027,0.00021331240930376819,219,True,2.0
CS2_36,degradation_dynamics,Slow,16,Group_CC,0.02026615359095978,0.020893745360770512,0.0006275917698107328,243,True,1.0
CS2_36,degradation_dynamics,Slow,16,Group_CV,0.02026615359095978,0.020381027754896964,0.00011487416393718419,243,True,3.0
CS2_36,degradation_dynamics,Slow,16,Group_EnergyEfficiency,0.02026615359095978,0.020469620269381195,0.00020346667842141564,243,True,2.0
