battery,feature,horizon,metric,value,rmse,alpha,history_length,n_test
CS2_37,B_missing_mask_only,4,MAE,0.017935810772765962,0.050348926835516644,10.0,1,1034
CS2_37,B_missing_mask_only,4,MAE,0.021085817451454207,0.05122739476145245,100.0,1,1034
CS2_38,B_missing_mask_only,4,MAE,0.01918754612815119,0.060180971563310356,0.01,1,1024
CS2_38,B_missing_mask_only,4,MAE,0.019188792573203925,0.06018030780021528,0.1,1,1024
CS2_38,B_missing_mask_only,4,MAE,0.01920264432574803,0.060173710224452746,1.0,1,1024
CS2_38,B_missing_mask_only,4,MAE,0.019430278588422847,0.06012198597852725,10.0,1,1024
CS2_38,B_missing_mask_only,4,MAE,0.02427357274511279,0.06099919887851959,100.0,1,1024
CS2_35,C_complete_case_HF456,4,MAE,0.011256659624166335,0.021052937356690872,0.01,1,572
CS2_35,C_complete_case_HF456,4,MAE,0.011350599207607427,0.021090003741535746,0.1,1,572
CS2_35,C_complete_case_HF456,4,MAE,0.0112749396981139,0.02108406314503162,1.0,1,572
CS2_35,C_complete_case_HF456,4,MAE,0.011134759808484624,0.021160015092766098,10.0,1,572
CS2_35,C_complete_case_HF456,4,MAE,0.011678160779679064,0.02191012667514633,100.0,1,572
CS2_36,C_complete_case_HF456,4,MAE,0.013569262864043717,0.056521359351944134,0.01,1,606
CS2_36,C_complete_case_HF456,4,MAE,0.01351651797771146,0.0565500601809855,0.1,1,606
CS2_36,C_complete_case_HF456,4,MAE,0.013550831681903285,0.05655697707450879,1.0,1,606
CS2_36,C_complete_case_HF456,4,MAE,0.013681957704464346,0.05649905260043815,10.0,1,606
CS2_36,C_complete_case_HF456,4,MAE,0.014267136859731706,0.05647222358530688,100.0,1,606
CS2_37,C_complete_case_HF456,4,MAE,0.011719669466692898,0.02138140839282712,0.01,1,639
CS2_37,C_complete_case_HF456,4,MAE,0.011433007411749317,0.021304345538060397,0.1,1,639
CS2_37,C_complete_case_HF456,4,MAE,0.011275538503077795,0.021265949847487396,1.0,1,639
