battery,feature,horizon,metric,value,n_effective,support_rule,abs_partial,delta_abs_from_h1
CS2_38,HF6,48,pearson_partial_controlling_SOH,-0.20909407690695703,549,pairwise,0.20909407690695703,0.18443294293228338
CS2_38,HF5,64,pearson_partial_controlling_SOH,-0.17766564690487813,550,pairwise,0.17766564690487813,0.1629697820136512
CS2_38,HF6,64,pearson_partial_controlling_SOH,-0.20439609059431096,550,pairwise,0.20439609059431096,0.17973495661963731
CS2_35,HF5,1,pearson_partial_controlling_SOH,-0.026702293012555875,574,horizon_common,0.026702293012555875,0.0
CS2_35,HF6,1,pearson_partial_controlling_SOH,-0.08822115901085639,574,horizon_common,0.08822115901085639,0.0
CS2_35,HF5,4,pearson_partial_controlling_SOH,-0.18797875527368266,573,horizon_common,0.18797875527368266,0.1612764622611268
CS2_35,HF6,4,pearson_partial_controlling_SOH,-0.13881431755115048,573,horizon_common,0.13881431755115048,0.050593158540294086
CS2_35,HF5,8,pearson_partial_controlling_SOH,-0.015129530694629833,573,horizon_common,0.015129530694629833,-0.011572762317926042
CS2_35,HF6,8,pearson_partial_controlling_SOH,-0.12041781626920253,573,horizon_common,0.12041781626920253,0.03219665725834614
CS2_35,HF5,12,pearson_partial_controlling_SOH,-0.22304980327923074,573,horizon_common,0.22304980327923074,0.19634751026667485
CS2_35,HF6,12,pearson_partial_controlling_SOH,-0.20026678280134144,573,horizon_common,0.20026678280134144,0.11204562379048505
CS2_35,HF5,16,pearson_partial_controlling_SOH,-0.1180076880087249,573,horizon_common,0.1180076880087249,0.09130539499616902
CS2_35,HF6,16,pearson_partial_controlling_SOH,-0.1627220897234338,573,horizon_common,0.1627220897234338,0.0745009307125774
CS2_35,HF5,24,pearson_partial_controlling_SOH,-0.1664963693033829,573,horizon_common,0.1664963693033829,0.13979407629082702
CS2_35,HF6,24,pearson_partial_controlling_SOH,-0.22662467442107348,573,horizon_common,0.22662467442107348,0.1384035154102171
CS2_35,HF5,32,pearson_partial_controlling_SOH,-0.13021714157508324,573,horizon_common,0.13021714157508324,0.10351484856252736
CS2_35,HF6,32,pearson_partial_controlling_SOH,-0.2522895896797019,573,horizon_common,0.2522895896797019,0.1640684306688455
CS2_35,HF5,48,pearson_partial_controlling_SOH,-0.20764976262896154,574,horizon_common,0.20764976262896154,0.18094746961640568
CS2_35,HF6,48,pearson_partial_controlling_SOH,-0.30074086005415973,574,horizon_common,0.30074086005415973,0.21251970104330334
CS2_35,HF5,64,pearson_partial_controlling_SOH,-0.25420922306445126,574,horizon_common,0.25420922306445126,0.22750693005189537
CS2_35,HF6,64,pearson_partial_controlling_SOH,-0.35785656391098125,574,horizon_common,0.35785656391098125,0.26963540490012483
CS2_36,HF5,1,pearson_partial_controlling_SOH,0.02652888919495096,608,horizon_common,0.02652888919495096,0.0
CS2_36,HF6,1,pearson_partial_controlling_SOH,0.03468231831883257,608,horizon_common,0.03468231831883257,0.0
CS2_36,HF5,4,pearson_partial_controlling_SOH,0.04969156234402368,607,horizon_common,0.04969156234402368,0.023162673149072718
CS2_36,HF6,4,pearson_partial_controlling_SOH,-0.053911329786554406,607,horizon_common,0.053911329786554406,0.019229011467721838
CS2_36,HF5,8,pearson_partial_controlling_SOH,-0.023921083109502292,608,horizon_common,0.023921083109502292,-0.0026078060854486697
CS2_36,HF6,8,pearson_partial_controlling_SOH,-0.07101581127711669,608,horizon_common,0.07101581127711669,0.03633349295828412
CS2_36,HF5,12,pearson_partial_controlling_SOH,-0.05975613705231501,607,horizon_common,0.05975613705231501,0.03322724785736404
CS2_36,HF6,12,pearson_partial_controlling_SOH,-0.11452097721304486,607,horizon_common,0.11452097721304486,0.0798386588942123
CS2_36,HF5,16,pearson_partial_controlling_SOH,-0.003838307450969348,608,horizon_common,0.003838307450969348,-0.022690581743981614
CS2_36,HF6,16,pearson_partial_controlling_SOH,-0.07910057691632955,608,horizon_common,0.07910057691632955,0.04441825859749698
CS2_36,HF5,24,pearson_partial_controlling_SOH,-0.07586229524153157,607,horizon_common,0.07586229524153157,0.04933340604658061
CS2_36,HF6,24,pearson_partial_controlling_SOH,-0.1403355380437012,607,horizon_common,0.1403355380437012,0.10565321972486863
CS2_36,HF5,32,pearson_partial_controlling_SOH,-0.07233901850091477,607,horizon_common,0.07233901850091477,0.045810129305963815
CS2_36,HF6,32,pearson_partial_controlling_SOH,-0.14826917789636548,607,horizon_common,0.14826917789636548,0.11358685957753292
CS2_36,HF5,48,pearson_partial_controlling_SOH,-0.10176750552376762,608,horizon_common,0.10176750552376762,0.07523861632881666
CS2_36,HF6,48,pearson_partial_controlling_SOH,-0.20409507921406778,608,horizon_common,0.20409507921406778,0.16941276089523521
