battery,feature,horizon,metric,value,rmse,alpha,history_length,n_test
CS2_36,history_L32_currentHF,24,MAE,0.023736040743841783,0.054353171227148424,0.01,32,918
CS2_36,history_L32_currentHF,24,MAE,0.02375015229537884,0.05436813491955508,0.1,32,918
CS2_36,history_L32_currentHF,24,MAE,0.02376180324842337,0.054377163450318663,1.0,32,918
CS2_36,history_L32_currentHF,24,MAE,0.023794736151209986,0.05438543442157042,10.0,32,918
CS2_36,history_L32_currentHF,24,MAE,0.023959583437171694,0.05446579020565629,100.0,32,918
CS2_37,history_L32_currentHF,24,MAE,0.020562903032758297,0.040379458823042835,0.01,32,983
CS2_37,history_L32_currentHF,24,MAE,0.020606402777282574,0.040409833667677836,0.1,32,983
CS2_37,history_L32_currentHF,24,MAE,0.02062889157437991,0.04042338867622819,1.0,32,983
CS2_37,history_L32_currentHF,24,MAE,0.020629540606591095,0.04039331085739634,10.0,32,983
CS2_37,history_L32_currentHF,24,MAE,0.020724099528798744,0.04035174233586044,100.0,32,983
CS2_38,history_L32_currentHF,24,MAE,0.020014003507308486,0.045465274764090645,0.01,32,973
CS2_38,history_L32_currentHF,24,MAE,0.019712272453248275,0.045285180899103626,0.1,32,973
CS2_38,history_L32_currentHF,24,MAE,0.019580933786826977,0.04521024295025411,1.0,32,973
CS2_38,history_L32_currentHF,24,MAE,0.01943577297417634,0.045131592925571486,10.0,32,973
CS2_38,history_L32_currentHF,24,MAE,0.019374985424678404,0.04505823099807621,100.0,32,973
CS2_35,trend_L32,24,MAE,0.02380312056128265,0.03890987969463859,0.01,32,827
CS2_35,trend_L32,24,MAE,0.023805215492750043,0.03891257473449666,0.1,32,827
CS2_35,trend_L32,24,MAE,0.023826780739997902,0.03893969496098233,1.0,32,827
CS2_35,trend_L32,24,MAE,0.024042716832484,0.03922657614619013,10.0,32,827
CS2_35,trend_L32,24,MAE,0.026476713329964357,0.042822939275964984,100.0,32,827
CS2_36,trend_L32,24,MAE,0.025031355474552548,0.05868332413064824,0.01,32,918
CS2_36,trend_L32,24,MAE,0.025031152763521355,0.058682539620951046,0.1,32,918
CS2_36,trend_L32,24,MAE,0.025029285761105382,0.05867473154226975,1.0,32,918
CS2_36,trend_L32,24,MAE,0.025014738494796886,0.05860026058486647,10.0,32,918
CS2_36,trend_L32,24,MAE,0.025267237560187502,0.05814713269638852,100.0,32,918
