battery,feature,horizon,metric,value,mae_without,mae_full,model_context,alpha,n_test,rank
CS2_37,Group_EnergyEfficiency,48,MAE_minus_full,0.0008631727372208041,0.026613368044564177,0.025750195307343373,current_SOH,1.0,990,2.0
CS2_37,Group_DischargeIC,48,MAE_minus_full,0.00019987646522256694,0.02595007177256594,0.025750195307343373,current_SOH,1.0,990,4.0
CS2_38,Group_CC,48,MAE_minus_full,0.008272688060918052,0.03190374271989591,0.02363105465897786,current_SOH,1.0,980,1.0
CS2_38,Group_CV,48,MAE_minus_full,0.0013643431545222531,0.024995397813500114,0.02363105465897786,current_SOH,1.0,980,4.0
CS2_38,Group_EnergyEfficiency,48,MAE_minus_full,0.0024900803701676764,0.026121135029145537,0.02363105465897786,current_SOH,1.0,980,2.0
CS2_38,Group_DischargeIC,48,MAE_minus_full,0.0018284871130646273,0.025459541772042488,0.02363105465897786,current_SOH,1.0,980,3.0
CS2_35,Group_CC,64,MAE_minus_full,0.0015961081773892966,0.03152453167933193,0.029928423501942636,current_SOH,1.0,818,2.0
CS2_35,Group_CV,64,MAE_minus_full,-0.0002864115415273996,0.029642011960415236,0.029928423501942636,current_SOH,1.0,818,4.0
CS2_35,Group_EnergyEfficiency,64,MAE_minus_full,0.00011088945549697984,0.030039312957439616,0.029928423501942636,current_SOH,1.0,818,3.0
CS2_35,Group_DischargeIC,64,MAE_minus_full,0.002127400685014276,0.03205582418695691,0.029928423501942636,current_SOH,1.0,818,1.0
CS2_36,Group_CC,64,MAE_minus_full,0.0021942743854811222,0.03272211277273068,0.03052783838724956,current_SOH,1.0,909,1.0
CS2_36,Group_CV,64,MAE_minus_full,-9.295699695942641e-05,0.030434881390290134,0.03052783838724956,current_SOH,1.0,909,4.0
CS2_36,Group_EnergyEfficiency,64,MAE_minus_full,0.0003911528547270067,0.030918991241976567,0.03052783838724956,current_SOH,1.0,909,2.0
CS2_36,Group_DischargeIC,64,MAE_minus_full,0.0003773422875305507,0.03090518067478011,0.03052783838724956,current_SOH,1.0,909,3.0
CS2_37,Group_CC,64,MAE_minus_full,0.005183162840552646,0.0319656563619574,0.02678249352140475,current_SOH,1.0,974,1.0
CS2_37,Group_CV,64,MAE_minus_full,0.0001188297876550011,0.02690132330905975,0.02678249352140475,current_SOH,1.0,974,4.0
CS2_37,Group_EnergyEfficiency,64,MAE_minus_full,0.0012107930192287418,0.027993286540633492,0.02678249352140475,current_SOH,1.0,974,2.0
CS2_37,Group_DischargeIC,64,MAE_minus_full,0.0011410295458738375,0.027923523067278588,0.02678249352140475,current_SOH,1.0,974,3.0
CS2_38,Group_CC,64,MAE_minus_full,0.007360794134640667,0.03507299838942887,0.027712204254788205,current_SOH,1.0,964,1.0
CS2_38,Group_CV,64,MAE_minus_full,-0.0007531074947473675,0.026959096760040838,0.027712204254788205,current_SOH,1.0,964,4.0
CS2_38,Group_EnergyEfficiency,64,MAE_minus_full,0.0030624247762741086,0.030774629031062314,0.027712204254788205,current_SOH,1.0,964,2.0
CS2_38,Group_DischargeIC,64,MAE_minus_full,0.0005166263604884334,0.02822883061527664,0.027712204254788205,current_SOH,1.0,964,3.0
CS2_35,Group_CC,1,MAE_minus_full,0.0006857052775808455,0.013266267683511352,0.012580562405930506,history_L32,1.0,850,1.0
CS2_35,Group_CV,1,MAE_minus_full,-0.00019462688340662372,0.012385935522523882,0.012580562405930506,history_L32,1.0,850,4.0
CS2_35,Group_EnergyEfficiency,1,MAE_minus_full,0.0003484098721380051,0.012928972278068511,0.012580562405930506,history_L32,1.0,850,2.0
CS2_35,Group_DischargeIC,1,MAE_minus_full,4.691095307936613e-05,0.012627473359009872,0.012580562405930506,history_L32,1.0,850,3.0
CS2_36,Group_CC,1,MAE_minus_full,0.0008586300481576194,0.016584356755901638,0.01572572670774402,history_L32,1.0,941,1.0
CS2_36,Group_CV,1,MAE_minus_full,-3.0306384721477675e-05,0.01569542032302254,0.01572572670774402,history_L32,1.0,941,4.0
CS2_36,Group_EnergyEfficiency,1,MAE_minus_full,0.0003134139500800444,0.016039140657824063,0.01572572670774402,history_L32,1.0,941,2.0
CS2_36,Group_DischargeIC,1,MAE_minus_full,4.9365081094116664e-05,0.015775091788838135,0.01572572670774402,history_L32,1.0,941,3.0
CS2_37,Group_CC,1,MAE_minus_full,0.0006343362982215977,0.013062096039353401,0.012427759741131804,history_L32,1.0,1006,1.0
CS2_37,Group_CV,1,MAE_minus_full,4.891926684762529e-05,0.012476679007979429,0.012427759741131804,history_L32,1.0,1006,4.0
CS2_37,Group_EnergyEfficiency,1,MAE_minus_full,0.0002988212744689852,0.012726581015600789,0.012427759741131804,history_L32,1.0,1006,2.0
CS2_37,Group_DischargeIC,1,MAE_minus_full,0.00024533549635513165,0.012673095237486935,0.012427759741131804,history_L32,1.0,1006,3.0
